fips_county_code,county_name,tempchg,prepchg,prepext,coldext,heatext,drychg,impsurface,houseden,popest,houseslr,roadslr,hazard,expos,vulner,risk,climate_stress_score,cluster
42001,Adams,-1.7441875254426382,1.4040076021591332,0.2378583973926683,0.7436115533378825,-0.5299383497126688,1.0555769018680896,-0.1788466999230263,-0.2061283521906781,-0.27118260938793,-0.1953769263953066,-0.2027360918390279,0.1594560970769435,-0.2011819238935245,0.8507571398362821,-0.1541442604661299,-0.4061829910957391,4
42003,Allegheny,0.8376544011049645,-0.2100893153283726,-0.2263233991281701,1.025489765918579,0.0278724405245045,-0.5190213189516092,1.703049607994028,0.8428624637298572,3.201183286654756,-0.1953769263953066,-0.2027360918390279,0.3255854253792988,1.9201900868119668,0.1093904685287785,2.0988495175766166,0.1155018408926199,3
42005,Armstrong,0.5917455028291886,-0.2920757802620954,-0.5029330118886698,1.2087106040960316,0.8282096612995773,-0.5341929970991232,-0.3907375335418322,-0.2744946899628182,-0.5154104167510496,-0.1953769263953066,-0.2027360918390279,0.2934376499765992,-0.4105458848744168,-0.1342503652263179,-0.4017094594609052,0.2952540556765476,0
42007,Beaver,-0.1202280395834097,1.9389059737044236,2.023355640275894,0.9691141234024412,-0.3844224913899278,2.1943626959228224,0.1324178607491327,-0.0659661072149263,-0.2512910735291344,-0.1953769263953066,-0.2027360918390279,2.2035574936616245,0.051062270136025,-0.6188988432289838,0.3429392240554714,0.563237388316495,2
42009,Bedford,1.1198833077606525,-1.9725736856154796,-0.7902271161291886,-0.2288682800655207,1.4830310237519109,-1.2546663986554032,-0.5241982798663795,-0.3152908205937023,-0.5599236904512376,-0.1953769263953066,-0.2027360918390279,-0.5675438554364204,-0.5233254059991733,0.2063274952809202,-0.5495731566561874,0.4494159776190534,0
42011,Berks,-0.954572539785144,1.789110846908149,0.8468744117537687,0.7999871958540227,-0.2389066330671869,1.5137393651599254,0.3320454097128744,0.0442742655697762,1.1839309306535648,-0.1953769263953066,-0.2027360918390279,0.9827326300992458,0.4604871012916959,2.196239973880506,0.9573551940648168,0.1067533974358648,2
42013,Blair,0.8943851440028255,-0.9149540613075032,-1.0905800432897312,-1.215442024097959,-0.7967174233043595,-0.592805858695262,-0.2513589492673599,-0.1616149435921283,-0.3830944648884513,-0.1953769263953066,-0.2027360918390279,-1.020226990883182,-0.2721086039019376,-0.2342777094972122,-0.38458177545631,-0.165046045998932,0
42015,Bradford,0.8141689654026254,-0.2866514058095772,-0.4518848859285775,-1.4268506835334815,-0.4814330636050879,-0.4738898512872774,-0.5149526764238743,-0.3138577112490693,-0.5211709703689108,-0.1953769263953066,-0.2027360918390279,-0.5616191586092191,-0.5094600836487904,0.774481405148713,-0.5282826092814716,-0.0470513164965799,0
42017,Bucks,-0.5622879645397161,-0.2693674396414226,0.0467247164723231,-0.2711500119526248,0.1733882988472455,-0.1665037080757433,1.2530500616691087,0.4580945115652835,2.254412714076109,2.812145744403088,2.161693780283945,-0.3899768185852774,1.3961168118246228,0.0499656540264851,1.201920010078984,-0.1851344579227379,3
42019,Butler,-0.0415802084784417,-0.585683537604954,-0.9362484996894526,1.4201192635315545,0.4644200154927257,-0.6429039132014394,-0.1867688712924193,-0.2045858081219569,-0.0109378060494118,-0.1953769263953066,-0.2027360918390279,-0.217864393900978,-0.1620912484004382,-0.6582799160675875,-0.2268245804735522,-0.0733547020623851,0
42021,Cambria,0.3840508177284703,0.2937314663048828,-0.0019490780477647,-0.5248404032752525,0.7069464460306268,-0.0279743489655013,-0.2311956999815979,-0.1812051401402826,-0.3654163541371409,-0.1953769263953066,-0.2027360918390279,0.1921465104967228,-0.2553072873200427,-0.0823200012080821,-0.2480292532731636,0.3543409715978653,0
42023,Cameron,1.7888379030097834,0.7348886678630892,-0.6442057325689249,-0.9899394540334016,2.5743999611724657,0.2939085911502259,-0.5982064018653823,-0.3200678717182152,-0.6079296985574794,-0.1953769263953066,-0.2027360918390279,0.7931449930274644,-0.5884209769141742,-0.7940766720455271,-0.5814977766867258,1.5523821517774916,0
42025,Carbon,0.2373343888431596,1.489286415103696,0.9762754752340024,-1.0322211859205055,1.313262522375379,1.171862355881405,-0.196984717051798,-0.1867464200093148,-0.522816394513969,-0.1953769263953066,-0.2027360918390279,1.0881236844619688,-0.2569115982673894,-0.4499350788793381,-0.1795241177705509,0.907486422366648,2
42027,Centre,0.6180381633987586,1.7412221108143695,2.8246925012773416,-0.8771881690011233,-1.694065216294593,2.095719142798456,-0.328408522203046,-0.2000595416580364,0.0786117623584978,-0.1953769263953066,-0.2027360918390279,1.9251778700776183,-0.2541713242333884,-0.0456274319212211,-0.0739711970969799,0.3398973633008739,2
42029,Chester,-1.237125754659942,1.920198912248454,2.5207780769567925,-0.1020230844042074,-0.0206328455830763,2.7695630026961124,0.797948710899561,0.1905987988870747,1.910150858768676,-0.1845665617302978,-0.2027360918390279,1.697219820219979,0.953272982988985,1.5637132275031849,1.8410295875273497,0.503934800817698,2
42031,Clarion,1.0259569538461095,2.582811551105794,3.4752593158385165,0.4053576982410478,1.6042942390208614,3.580730157544025,-0.4613406317180791,-0.2961367515487627,-0.5677857425405091,-0.1953769263953066,-0.2027360918390279,4.021189817332455,-0.4751978511626501,-0.4923325746491665,-0.2912163238286587,2.0703271168036657,2
42033,Clearfield,0.3571672083109566,-0.1718167072093311,-0.2405693877681957,0.6026724470475342,0.7554517321382077,-0.4553647919478209,-0.4591681433835305,-0.2804609762116881,-0.4914675600999873,-0.1953769263953066,-0.2027360918390279,0.1936265808279422,-0.4590483962087299,-0.2940718025800055,-0.4612681443923579,0.2190847161671144,0
42035,Clinton,1.642347069207693,-0.2323625491842421,-0.17646243888808,-0.5389343139042865,2.2833682445269834,-0.4008174148257638,-0.5393265510002602,-0.2819527556764056,-0.5686633718367166,-0.1953769263953066,-0.2027360918390279,0.6015055385595119,-0.533606384881674,-0.3855819501845791,-0.5221252155626191,1.1749659663029708,0
42037,Columbia,-0.9960498865755288,2.3379053911951533,2.3759438591165307,0.5322028939023601,-1.06349649689605,2.8838102052262102,-0.3258912755283393,-0.2472220355440162,-0.4925711344804873,-0.1953769263953066,-0.2027360918390279,1.9844456305266835,-0.3549222777717685,-0.0166467598951888,-0.2087909197016045,0.2747546072515437,2
42039,Crawford,-0.6724599110072136,-0.4755191984387137,-1.06208806600968,0.2503246813216634,-0.8452227094119396,-0.6779649707008648,-0.4154009119557745,-0.2841472759198356,-0.4397156753869064,-0.1953769263953066,-0.2027360918390279,-0.9928584674935328,-0.4170511471108364,0.7022692897037984,-0.4737052097576574,-0.7318825303733393,4
42041,Cumberland,0.2720028019216736,-0.2529803107302567,-0.2643127021682386,0.7999871958540227,0.2461462280086152,-0.1842281656829286,0.0743778034585342,-0.0457980699399402,0.2014422047444365,-0.1953769263953066,-0.2027360918390279,0.080020711210464,0.086785257603747,0.0878790194290429,0.0946308366183242,0.11130695474912,0
