FIPS County Code,County Name,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard,Expos,Vulner,Risk,HEV
42001,Adams,1.623887014,1.388322919,146.2,70.3,32.3,0.148532804,3.703590539,462.6029414,110875.0,0.0,0.0,0.316094865,0.029711683,0.323506068,0.003038275,0.3038275
42003,Allegheny,2.130561646,0.016350741,107.1,72.3,34.6,-0.129989142,15.59348132,3195.042311,1217384.333,0.0,0.0,0.327081104,0.151713212,0.304433791,0.015106773,1.5106773
42005,Armstrong,2.082303153,-0.053337236,83.8,73.6,37.9,-0.132672776,2.364856381,284.5204739,33049.0,0.0,0.0,0.324955151,0.017671021,0.298165927,0.001712155,0.1712155
42007,Beaver,1.942581612,1.842983154,296.6,71.9,32.9,0.349966307,5.670171596,827.7013107,117213.6667,0.0,0.0,0.451272601,0.044218416,0.28569794,0.005700977,0.5700977
42009,Bedford,2.185947774,-1.481749834,59.6,63.4,40.6,-0.26011332,1.521646428,178.2536203,18864.33333,0.0,0.0,0.268017892,0.011184995,0.306927577,0.000920101,0.0920101
42011,Berks,1.778845332,1.715658243,197.5,70.7,33.5,0.229574621,6.931425866,1114.858386,574563.6667,0.0,0.0,0.37053867,0.067764713,0.358119738,0.008992188,0.8992188
42013,Blair,2.141694794,-0.582779838,34.3,56.4,31.2,-0.14304048,3.245455454,578.5526602,75213.0,0.0,0.0,0.238081666,0.025632642,0.29559264,0.001803902,0.1803902
42015,Bradford,2.125952737,-0.048726552,88.1,54.9,32.5,-0.122006087,1.580060494,181.9866219,31213.33333,0.0,0.0,0.268409696,0.011982399,0.321543811,0.001034147,0.1034147
42017,Bucks,1.85582938,-0.03403529,130.1,63.1,35.2,-0.067634257,12.75036747,2192.788445,915685.0,0.001822258,1.07e-05,0.279760514,0.121573406,0.302905038,0.010302236,1.0302236
42019,Butler,1.958015888,-0.302901974,47.3,75.1,36.4,-0.151902047,3.653537966,466.6210015,193805.0,0.0,0.0,0.291142419,0.031959814,0.284684829,0.002648952,0.2648952
42021,Cambria,2.041544024,0.444595221,126.0,61.3,37.4,-0.043130567,3.372847612,527.5235916,80846.33333,0.0,0.0,0.318256703,0.026598897,0.299501879,0.002535366,0.2535366
42023,Cameron,2.317227044,0.819576054,71.9,58.0,45.1,0.013805521,1.054060364,165.8102296,3566.666667,0.0,0.0,0.358001118,0.007441305,0.281191344,0.000749092,0.0749092
42025,Carbon,2.012751598,1.460809371,208.4,57.7,39.9,0.169101893,3.588993873,513.0895174,30689.0,0.0,0.0,0.377508248,0.026506632,0.290044674,0.002902324,0.2902324
42027,Centre,2.087462967,1.67495312,364.1,58.8,27.5,0.332517796,2.75865339,478.4111416,222341.0,0.0,0.0,0.432863178,0.026664227,0.300445826,0.003467734,0.3467734
42029,Chester,1.72339556,1.82708227,338.5,64.3,34.4,0.451710299,9.87502023,1496.008449,805982.0,6.55e-06,0.0,0.417788166,0.09610516,0.341847459,0.013725722,1.3725722
42031,Clarion,2.167515158,2.390298825,418.9,67.9,41.1,0.595193158,1.918783384,228.1466523,16359.0,0.0,0.0,0.571473792,0.013952843,0.288953963,0.002304028,0.2304028
42033,Clearfield,2.036268239,0.048882216,105.9,69.3,37.6,-0.118729292,1.932509246,268.9793317,40678.66667,0.0,0.0,0.318354581,0.014881609,0.294054387,0.00139312,0.139312
