fips_county_code,county_name,tempchg,prepchg,prepext,coldext,heatext,drychg,impsurface,houseden,popest,houseslr,roadslr,hazard,expos,vulner,risk,climate_stress_score
42001,Adams,-1.7441875254426382,1.4040076021591332,0.23785839739266837,0.7436115533378825,-0.5299383497126688,1.0555769018680896,-0.1788466999230263,-0.2061283521906781,-0.27118260938793,-0.1953769263953066,-0.20273609183902797,0.15945609707694355,-0.2011819238935245,0.8507571398362821,-0.15414426046612997,-0.40618299109573913
42003,Allegheny,0.8376544011049645,-0.21008931532837266,-0.2263233991281701,1.0254897659185793,0.02787244052450459,-0.5190213189516092,1.703049607994028,0.8428624637298572,3.2011832866547554,-0.1953769263953066,-0.20273609183902797,0.3255854253792988,1.9201900868119668,0.10939046852877858,2.0988495175766166,0.11550184089261994
42005,Armstrong,0.5917455028291886,-0.2920757802620954,-0.5029330118886698,1.2087106040960316,0.8282096612995773,-0.5341929970991232,-0.39073753354183227,-0.2744946899628182,-0.5154104167510496,-0.1953769263953066,-0.20273609183902797,0.2934376499765992,-0.41054588487441684,-0.13425036522631792,-0.4017094594609052,0.2952540556765476
42007,Beaver,-0.1202280395834097,1.9389059737044234,2.023355640275894,0.9691141234024411,-0.38442249138992785,2.1943626959228224,0.13241786074913275,-0.06596610721492632,-0.25129107352913443,-0.1953769263953066,-0.20273609183902797,2.2035574936616245,0.051062270136025045,-0.6188988432289838,0.34293922405547145,0.563237388316495
42009,Bedford,1.1198833077606523,-1.9725736856154794,-0.7902271161291886,-0.22886828006552074,1.4830310237519109,-1.2546663986554032,-0.5241982798663795,-0.3152908205937023,-0.5599236904512376,-0.1953769263953066,-0.20273609183902797,-0.5675438554364204,-0.5233254059991733,0.2063274952809202,-0.5495731566561874,0.4494159776190534
42011,Berks,-0.9545725397851439,1.789110846908149,0.8468744117537687,0.7999871958540227,-0.2389066330671869,1.5137393651599254,0.33204540971287444,0.044274265569776254,1.1839309306535648,-0.1953769263953066,-0.20273609183902797,0.9827326300992458,0.4604871012916959,2.196239973880506,0.9573551940648168,0.10675339743586483
42013,Blair,0.8943851440028255,-0.9149540613075033,-1.0905800432897312,-1.215442024097959,-0.7967174233043595,-0.592805858695262,-0.2513589492673599,-0.1616149435921283,-0.3830944648884513,-0.1953769263953066,-0.20273609183902797,-1.020226990883182,-0.27210860390193764,-0.23427770949721224,-0.38458177545631006,-0.165046045998932
42015,Bradford,0.8141689654026254,-0.2866514058095772,-0.45188488592857756,-1.4268506835334815,-0.4814330636050879,-0.4738898512872774,-0.5149526764238743,-0.3138577112490693,-0.5211709703689108,-0.1953769263953066,-0.20273609183902797,-0.5616191586092191,-0.5094600836487904,0.774481405148713,-0.5282826092814716,-0.047051316496579974
42017,Bucks,-0.5622879645397161,-0.2693674396414226,0.04672471647232315,-0.27115001195262484,0.17338829884724558,-0.16650370807574338,1.2530500616691087,0.4580945115652835,2.254412714076109,2.8121457444030877,2.161693780283945,-0.3899768185852774,1.3961168118246228,0.049965654026485166,1.201920010078984,-0.18513445792273794
42019,Butler,-0.04158020847844178,-0.585683537604954,-0.9362484996894526,1.4201192635315543,0.46442001549272577,-0.6429039132014394,-0.18676887129241934,-0.20458580812195695,-0.010937806049411839,-0.1953769263953066,-0.20273609183902797,-0.21786439390097806,-0.1620912484004382,-0.6582799160675875,-0.22682458047355228,-0.07335470206238513
